device_trust,failed_attempts,request_frequency,network_anomaly,time_anomaly,previous_behavior,label,decision
44.32,6,33.63,43.93,43.23,71.14,SUSPICIOUS,LIMITED
62.7,5,24.92,53.05,37.06,49.52,SUSPICIOUS,LIMITED
61.66,6,21.81,38.54,50.64,50.35,SUSPICIOUS,LIMITED
96.59,0,3.88,2.49,7.07,88.34,NORMAL,ALLOW
19.54,11,51.07,95.51,94.52,7.88,HIGH_RISK,DENY
70.66,5,20.46,39.73,47.45,57.35,SUSPICIOUS,LIMITED
69.54,3,22.28,46.24,37.17,50.33,SUSPICIOUS,LIMITED
20.73,8,130.55,80.27,87.68,19.62,HIGH_RISK,DENY
92.6,0,5.42,0.42,4.74,100.0,NORMAL,ALLOW
0.21,6,108.38,66.44,78.24,24.95,HIGH_RISK,DENY
8.53,6,75.31,70.9,89.77,5.36,HIGH_RISK,DENY
88.62,2,4.93,0.54,3.34,92.51,NORMAL,ALLOW
90.77,0,6.24,2.06,1.47,91.71,NORMAL,ALLOW
61.65,5,42.61,60.48,50.92,63.72,SUSPICIOUS,LIMITED
18.53,10,114.73,93.31,72.98,17.12,HIGH_RISK,DENY
93.84,0,6.03,1.72,0.71,84.65,NORMAL,ALLOW
42.74,3,35.34,23.5,59.01,72.0,SUSPICIOUS,LIMITED
84.42,0,1.0,4.55,0.6,89.19,NORMAL,ALLOW
0.0,9,82.0,82.41,62.66,8.35,HIGH_RISK,DENY
14.47,6,73.36,81.73,83.36,21.12,HIGH_RISK,DENY
84.61,0,6.56,2.64,8.18,98.85,NORMAL,ALLOW
88.89,0,4.3,0.35,0.52,91.21,NORMAL,ALLOW
93.25,0,6.37,1.63,2.36,88.97,NORMAL,ALLOW
16.99,13,113.17,89.07,75.22,16.08,HIGH_RISK,DENY
58.63,3,23.43,34.5,34.55,61.46,SUSPICIOUS,LIMITED
15.09,6,75.77,87.27,76.63,25.24,HIGH_RISK,DENY
16.29,10,104.76,89.55,77.26,16.23,HIGH_RISK,DENY
52.29,5,24.48,43.8,34.45,59.42,SUSPICIOUS,LIMITED
96.5,0,1.82,6.94,3.11,94.4,NORMAL,ALLOW
51.39,3,39.08,41.23,40.41,70.08,SUSPICIOUS,LIMITED
49.04,2,34.03,59.54,55.96,55.3,SUSPICIOUS,LIMITED
63.75,6,34.56,59.05,28.01,52.63,SUSPICIOUS,LIMITED
92.93,0,6.22,0.94,0.59,90.71,NORMAL,ALLOW
12.35,11,77.43,85.91,74.97,35.47,HIGH_RISK,DENY
89.53,0,7.65,2.63,0.55,100.0,NORMAL,ALLOW
85.32,0,6.43,0.16,9.57,100.0,NORMAL,ALLOW
10.5,9,107.52,83.96,74.58,14.66,HIGH_RISK,DENY
87.91,0,4.28,2.06,7.49,92.63,NORMAL,ALLOW
96.06,0,3.79,2.46,2.38,96.11,NORMAL,ALLOW
43.45,3,19.64,30.52,31.4,38.0,SUSPICIOUS,LIMITED
92.87,0,2.86,0.65,0.38,89.02,NORMAL,ALLOW
86.02,0,5.94,4.33,0.94,94.5,NORMAL,ALLOW
100.0,0,5.01,0.51,7.55,95.98,NORMAL,ALLOW
93.74,0,4.44,1.96,0.17,92.39,NORMAL,ALLOW
70.43,3,25.47,40.48,33.39,52.39,SUSPICIOUS,LIMITED
54.66,2,20.92,46.99,33.79,55.2,SUSPICIOUS,LIMITED
23.2,14,90.38,91.95,79.98,15.73,HIGH_RISK,DENY
83.38,0,9.18,6.51,8.1,94.57,NORMAL,ALLOW
31.35,13,85.48,71.96,62.08,20.03,HIGH_RISK,DENY
67.23,6,25.86,53.24,40.65,52.95,SUSPICIOUS,LIMITED
56.35,2,20.77,55.4,44.58,72.0,SUSPICIOUS,LIMITED
21.72,13,106.49,92.27,79.79,11.26,HIGH_RISK,DENY
97.27,1,5.95,3.45,2.91,96.16,NORMAL,ALLOW
12.65,15,71.54,90.57,58.19,17.56,HIGH_RISK,DENY
88.6,1,7.39,0.27,2.36,91.73,NORMAL,ALLOW
12.74,13,119.87,97.95,78.7,7.38,HIGH_RISK,DENY
51.75,3,37.98,39.39,57.48,51.06,SUSPICIOUS,LIMITED
95.16,0,5.72,7.06,6.55,95.73,NORMAL,ALLOW
20.05,7,79.99,79.54,95.34,26.15,HIGH_RISK,DENY
38.0,5,25.43,47.89,57.34,70.93,SUSPICIOUS,LIMITED
90.18,0,2.61,0.71,5.96,91.42,NORMAL,ALLOW
93.4,0,5.46,5.22,2.93,92.96,NORMAL,ALLOW
86.39,0,4.03,0.63,4.98,89.43,NORMAL,ALLOW
100.0,0,3.55,6.83,7.2,90.87,NORMAL,ALLOW
90.07,0,5.24,5.75,0.42,87.78,NORMAL,ALLOW
49.74,2,40.9,49.62,44.63,47.97,SUSPICIOUS,LIMITED
49.14,3,25.4,39.12,43.05,63.34,SUSPICIOUS,LIMITED
48.42,6,16.01,39.08,18.0,46.25,SUSPICIOUS,LIMITED
50.43,3,14.94,44.86,42.43,70.74,SUSPICIOUS,LIMITED
94.72,0,4.6,0.16,0.97,86.4,NORMAL,ALLOW
58.61,3,32.68,53.38,65.78,57.64,SUSPICIOUS,LIMITED
18.97,10,73.15,85.1,64.99,29.31,HIGH_RISK,DENY
15.13,13,84.72,82.62,86.39,13.42,HIGH_RISK,DENY
44.93,3,27.75,40.18,29.32,66.86,SUSPICIOUS,LIMITED
90.29,0,3.96,1.38,4.18,85.03,NORMAL,ALLOW
90.45,0,8.78,3.25,1.63,90.9,NORMAL,ALLOW
19.04,9,76.3,78.44,87.42,14.33,HIGH_RISK,DENY
16.98,6,103.64,76.52,66.29,11.13,HIGH_RISK,DENY
4.76,6,77.25,73.03,67.42,24.19,HIGH_RISK,DENY
17.04,12,96.2,65.64,73.9,17.11,HIGH_RISK,DENY
51.88,4,28.71,54.83,52.87,45.95,SUSPICIOUS,LIMITED
50.8,2,28.97,42.77,44.92,57.08,SUSPICIOUS,LIMITED
86.59,0,5.82,1.32,0.9,93.55,NORMAL,ALLOW
42.55,3,14.0,55.9,63.74,66.71,SUSPICIOUS,LIMITED
28.31,8,66.29,72.49,100.0,9.78,HIGH_RISK,DENY
93.3,1,2.29,5.56,0.95,89.56,NORMAL,ALLOW
14.23,16,92.44,86.06,71.95,13.15,HIGH_RISK,DENY
61.79,3,20.51,53.11,35.0,59.99,SUSPICIOUS,LIMITED
22.71,13,128.88,92.35,95.74,11.66,HIGH_RISK,DENY
13.54,7,92.17,82.32,72.7,22.83,HIGH_RISK,DENY
94.98,0,6.4,3.2,8.34,98.36,NORMAL,ALLOW
45.94,4,36.91,50.32,51.73,68.84,SUSPICIOUS,LIMITED
1.15,10,92.47,85.98,71.24,27.5,HIGH_RISK,DENY
40.06,3,27.18,40.97,28.74,42.83,SUSPICIOUS,LIMITED
62.72,2,32.72,42.29,30.46,60.5,SUSPICIOUS,LIMITED
99.76,0,6.58,14.71,1.54,91.43,NORMAL,ALLOW
16.17,13,81.28,90.58,92.55,22.71,HIGH_RISK,DENY
9.48,14,95.89,81.92,67.66,19.26,HIGH_RISK,DENY
93.38,0,4.88,0.04,1.63,98.97,NORMAL,ALLOW
55.84,5,26.86,45.36,36.81,64.67,SUSPICIOUS,LIMITED
20.41,18,88.1,72.77,97.52,32.95,HIGH_RISK,DENY
88.4,0,5.51,7.29,1.08,86.57,NORMAL,ALLOW
95.56,0,10.2,3.8,1.93,97.23,NORMAL,ALLOW
57.14,4,29.76,25.43,52.57,58.33,SUSPICIOUS,LIMITED
50.97,6,14.0,57.59,52.76,54.11,SUSPICIOUS,LIMITED
99.74,0,5.03,0.74,1.51,92.9,NORMAL,ALLOW
53.09,6,23.89,53.95,38.53,51.81,SUSPICIOUS,LIMITED
87.51,0,2.81,4.51,0.48,89.58,NORMAL,ALLOW
90.36,0,3.23,3.95,2.14,93.94,NORMAL,ALLOW
55.55,2,32.38,33.09,32.35,51.73,SUSPICIOUS,LIMITED
7.35,10,95.73,85.93,87.16,22.34,HIGH_RISK,DENY
89.04,0,5.19,2.52,0.64,87.74,NORMAL,ALLOW
21.77,9,92.78,88.38,75.69,15.82,HIGH_RISK,DENY
18.99,10,58.97,64.86,70.54,5.63,HIGH_RISK,DENY
